Id,SalePrice
1461,111817.92360521859
1462,143613.43640809483
1463,154676.29785438103
1464,156321.08539803038
1465,211682.02536704476
1466,175230.60932925774
1467,151685.76486100632
1468,165260.47625263743
1469,178759.94496142346
1470,99067.64500557732
1471,191695.3231262433
1472,129241.28249636992
1473,118783.43144992339
1474,149348.33012756435
1475,152985.6785352287
1476,390084.79564340774
1477,229632.5744085523
1478,298622.2351900921
1479,276071.140374415
1480,436144.7015287067
1481,285474.02730714245
1482,217638.11403807616
1483,169889.3056389288
1484,180676.95365360612
1485,193894.64207080213
1486,216588.70566421683
1487,337642.7144120877
1488,233271.8729459981
1489,184789.56553850908
1490,195979.70689617173
1491,211703.1056788335
1492,115889.43644388302
1493,151108.38684226945
1494,294321.951659266
1495,283282.0871689241
1496,221612.28861294792
1497,213078.2506810881
1498,183766.88265750042
1499,183766.88265750042
1500,165341.8732320058
1501,180027.64848932173
1502,177092.13419294695
1503,243739.31137753135
1504,252196.45552612434
1505,201078.65775053392
1506,167550.23327385212
1507,227031.3063063185
1508,188456.15386331236
1509,158309.6753461795
1510,124022.90229318189
1511,135889.460645572
1512,135122.01618645072
1513,164783.7735575211
1514,144516.12933909768
1515,194509.95917876207
1516,154024.69784673172
1517,134983.6506673413
1518,139095.38482888398
1519,200336.08423194702
1520,120665.96107896569
1521,123032.68060168724
1522,155168.6435914192
1523,113987.30503098104
1524,117762.40372009623
1525,114468.98765284853
1526,115035.06590753635
1527,102264.18924093079
1528,139038.6599078862
1529,121862.35919616945
1530,146565.74272926824
1531,133273.51781041484
1532,113205.47555753907
1533,128499.19417447588
1534,154708.587730126
1535,140344.63680275241
1536,124520.99777184367
1537,77237.22328811325
1538,209515.34438251742
1539,260143.7398942999
1540,170065.20889325257
1541,149994.37422962394
1542,139438.89116857777
1543,223673.90380471374
1544,95557.65599303362
1545,135150.22398076512
1546,137843.52560805556
1547,132768.12234444745
1548,147517.78153415877
1549,116894.22524492872
1550,136209.53743261404
1551,132509.5459424314
1552,138211.4638902401
1553,165578.10041224162
1554,143392.21527182317
1555,156885.62967237085
1556,136519.37003302536
1557,130294.44746152069
1558,126559.87920261099
1559,134927.31049076025
1560,142393.15780939558
1561,132781.34406824928
1562,111680.10725358085
1563,110720.13711261352
1564,142937.23556944547
1565,132237.03787159125
1566,200521.4701270362
1567,95292.86490957411
1568,193758.74020510208
